Reviewer Name,Review Date,Review Content
HappyDay Winter,2025-06-20,"Lazada blocked my reviews when I rated them 1 star.I didn't receive my order after 5 weeks with status IN TRANSIT. Lazada didn't attend to my problem and rejected my request of refund.Months ago, the seller delivered 1 pack of tissue paper while I ordered a writing table and they marked delivered in the system. When I complaint to Lazada, with photo  evidence they ignored it too. And my reviews was blocked also.With this 2 issues, I lost rm200++.In this aspect, Shopee is much more better as they will investigate. And take action and refund."
Phil James,2025-06-05,completely and utterly fake items sentI ordered 4 x micro sd cards for my DJI pocket 3 and action 5 pro. I even ordered from 2 x suppliers incase I got a fake one and all of the cards I tested and all were fake. No serial numbers on 2 and the other 2 had the same serial numbers. Tested on h2testw_1.4 and showed they were slow speeds.Final test was putting them in the cameras and they just came up saying they were to slow to work on the devices. Wasted an entire day staying in for these and now I have to return them to waste more time. Then to top it all off I paid cash so I only get a voucher to use on an app I will never use again... This is appalling and apps like this need to be banned from app stores.
Jenny Talya,2025-05-28,"Overall experience with Lazada has been pleasant thus far. Everything functions as expected.FeaturesIncentives such as coins (when you review items) can help you get items for cheaper, even more so when it’s on a special sale.There’s an ‘Ask the Buyers’ feature that comes in handy when needing more information before purchasing a product - past buyers will be able to answer those questions. It’s a nice community thing that I’m all for.Lazada CHOICE lets you get discounted add-ons (upsell) when you buy x amount (I’ve thus far encountered Buy 5 Get X) Website experienceFair. It could be a bit hard to search for items compared to the app but everything else was alright. UI isn’t cluttered by any means and it sticks to a simple grid system, but it does look messy and overwhelming at times when the rows are stacked a little too close together, a little more breathing space would be nice.App experiencePop ups can get annoying especially when you open the app for the first time in the day. You’re invited to play games (Lazland), unlock exclusive vouchers by cracking eggs (LuckyEgg), spinning wheels for chances to win things… it can get pretty overwhelming. Tabs are easy to navigate: Home, Fashion (Taobao Fashion), Messages, Cart and Account.For Taobao Fashion and they’d have Buy X for -X% off and Free Shipping.Via popups, it’s easier to collect daily and weekly vouchers compared to the website.ReviewsReview quality have taken a bit of a downward turn when Lazada started providing phrases and words — which I believe it was meant to help reviewers if they’re at a loss for words (e.g. dumb as rocks and can’t string a few sentences together) But now people could just spam these phrases and be done with it. So it does get a bit hard to make a purchase from a vendor when you’ve no quality reviews to go by.GamesWhen you’re passing the time and have nothing better to do, some games aren’t too bad.MergeBoss, GogoMatch, LazFun, Crack & Win, CapyBistro and StyleStar. I’ve only tried MergeBoss - addictive and GogoMatch - you’re able to earn some LazCash which shaves off cents off your purchases. Product catalog Pretty vast when all things considered, though it may not compare to Shopee in terms of product catalog scale as Shopee has more vendors with more options but I still find most of what I need on Lazada. Certain vendors such as indie shops and artists have a higher likelihood of being on Shopee than Lazada. Cancellations, returns and refundsI’ve only made cancellations and requested for returns or refunds within reason. With sufficient photo proof and acting promptly (+ being sure to return products in the state which it came in), I haven’t had issues. Lazada has allowed me to return items and refunds have been relatively prompt. Tracking and shipping servicesAll good at the time of this review. Parcel tracking is constantly updated and couriers would send me a message when my parcel has been delivered."
Jessie Chee,2025-05-23,LAZADA KEPT DEDUCTING FROM MY SALES AND TO PAY FOR THE PROGRAM THAT I DIDNT EVEN SIGN UP FOR. EVEN I HAVE DOUBLE CHECK EVERYTHING AND MAKING SURE I STOP ALL THE AUTO SIGNUP THAT THEY DID WITHOUT MY KNOWLEDGE. NOW THEY SAID I HAVE OVERUSED THEIR CREDIT AND IT WILL BE DEDUCTED FROM MY SALES. BASICALLY THIS IS STEALING! AND I AM DOING CHARITY FROM SELLING!!!! HOW FAIR IS THIS?
Mr. Man,2025-04-28,Simply useless
Pavanan,2025-04-25,Very very poor service and poor customer service. 10 plus years with them but such useful service
Krissa Palma,2025-04-24,"LAZADA Malaysia has poor customer service and they also had hold of your money even the item wasn’t received by the customer, refund and cancellation by scammed seller, was tolerated. Customer has the right to get their money once the item wasn’t received but it takes months already I haven’t received my money. It’s only a small amount but the trust is the issue here . I can’t put my trust anymore."
Lee Chee Seng,2025-04-08,"I have requested Lazada customer service to arrange pickup from my location for over a week but nothing happened except for empty assurances.I am considering a switch to other alternative online platforms eg. Shopee ,Temu etc.after a terrible experience with Lazada."
Elaine Khoo,2025-04-03,I HV bn writing 9 times at least with each n every detail n I dnt get the refund. They play musical chess and keep creating new case no's until my original case no disappear so no case to claim. Hot line play musical chess from one to another. I have proof of all my correspondents are are willing to supply to any com or review with all my proof . Why deal with Lazada n get refund issue. I used them 7 years n stopping now...frightening....
Li Wei Lim,2025-03-29,"I had been using the platform without problem for several years. Items ordered, order gets delivered and I mark as delivered after checking the items, and platform will pay the seller. If I do not mark the item as delivered, it will be automatically marked as delivered and the money will be released to the seller after a certain period of time. There has been several times items are out of stock and the sellers would inform me to file the refund upon receiving and I got my money back without a problem. My recent problem occurred when the seller sent an incomplete parcel, where I then filed a refund upon receiving. The seller told me to cancel the refund claiming that they’ve sent a replacement for the missing item. Trusting the seller, I cancelled the refund request and later found out from the seller who blamed the logistics for losing the item and there’s actually no replacement being sent out after I asked for the tracking information of the replacement item.  I tried again to raise a refund and was denied by the platform even after going through customer service. (Twice)Hence, with the platform AND the seller holding no accountability for this issue, I practically paid for something I did not receive and there’s no way of getting the money refunded. Update on 29/3/2025: Seller did made a reshipment from their warehouse and that item arrived this morning. I did receive the purchased item eventually. However, my experience in the refund process made me realise the amount problematic aspects in this e-commerce platform. The platform is not impartial and showed to be protecting the sellers more than the customers. If the seller refused to refund the money, the platform will protect them instead of customer's wish for a refund. Hence, purchase with caution on this platform."
Janick Rei,2025-03-20,"AN EPITOME OF THE INFAMOUS SOUTHEAST ASIAN FRAUD. Ordered a high value item from Lazada in the Philippines. The seller, turned out to be located in China, instead of the item i ordered sent a useless worthless piece of plastic of unknown purpose. I opened a claim with Lazada, sent that plastic piece back. Lazada refused to refund siding with the seller. In all indications Lazada colludes with fraudsters in China to scam buyers. Please stay away from that cabal."
Pablo Hernandez,2025-02-24,"SCUM... I ordered a product , told me would arrive 2 days later and the product never arrived.Lazada is a scum, now I don't know how can I get my money back which probably I will not be able to do it."
Yulia,2025-02-22,"I ordered four identical items, but Seller only sent me two! Instead of categorizing this as a ‘missing item’ issue, their incompetent agent, Nabila wrongly labeled it as a ‘wrong item’ case. How does that make sense when the items I received are correct but incomplete? Now, they expect me to return one item before they take any action—this is completely illogical!Nabila CS is an irresponsible and unethical customer service agent who only wants to close cases quickly without caring about customers' rights. Lazada’s poor handling of this issue, constant delays, and refusal to take responsibility prove how unreliable their service is. If you value your time and money, avoid Lazada!"
yykkll,2025-01-01,Force users to install Whatsapp for verification. Can't it just send verification code to email or via SMS? It is very stupid
Ernie Geefay,2024-12-31,"Customer reviews on Lazada are not often helpful.  The reviewers gets coins to write something.  So they write anything just to get the reward like: got the package. It was delivered quickly. Looks good etcThen to get more coins they take meaningless photos of the product box.Amazon does not reward customers for silly reviews so reviews on Amazon are genuine, detailed and helpful.  Plus Amazon reviews can be updated anytime in case the buyer wants to add his opinion after owning and using the productLazada should stop rewarding people for reviews that are meaningless.I notice Lazada now prompts reviewers with phrases of praise that they can use if they can't think of their own words.  This is even more meaningless"
Vivien W,2024-12-05,Lazada customer service is getting worse and worse. I ordered an item and it allowed for change of mind. I applied for a refund within a day and the dishonest seller sent it to dispute and stupid lazada took the side of the dishonest seller. What does change of mind mean if one cannot return the item within a day and it was even clear that the advertisement lies about the product. Disgusting company
Kim,2024-11-13,"The original return airwaybill for an item was defective on the Lazada app. When trying to return the defective item after speaking to the helpful seller, the return was accepted and drop off to our closest point was selected since per the map, it was only 1km away. Lo and behold the closest drop off for J&T courier ended up being 6.2km away (20 mins by car) with the other locations on Lazada app being permanently closed. When we reached the courier the return airwaybill in the app did not work. Immediately on 2Nov we contacted Lazada for a new return airwaybill. Spoke to Evelyn. Told to wait and new one will be sent in 2-3working days. 4Nov spoke to Eliza. 12Nov spoke to Rose since new returm airwaybill still not received. Emphasised the last date of return in the app is 13Nov. Rose managed to get the airwaybill sent within the day as promised but when we tried to use the airwaybill again did not work! Finally spoke to Sita 13Nov and still no resolution. Even refund is not allowed, cannot speak to manager, unable to switch from drop off at courier to pickup from site. Frustrating trying to wait for customer service to respond, waste of time and petrol travelling. Very disappointed as long time customer. Will be switching to competitor platform for purchases."
Tony Fink,2024-11-02,"For all those who have been scammed by Lazada’s sellers complain to the FTEB, address and                             below. Their email address is on their webpage. My message to Lazada follows: Please advise your CEO that your company has been reported to the Fair Trade Enforcement Bureau (FTEB), as it is about time Lazada Philippines did something about the high number of scam sellers, advertising branded products but delivering counterfeit and fake items, you have your system. You have on your database hundreds of products for sale, at prices, it is obvious they are scams so why are you allowing this and why are you not doing something about it? So many items are being advertised that are so cheap they cannot be real. Mobile Phones for under a P100 are just one of the many examples. I for one, (and this is my formal complaint to the FTEB) purchased an OPPO phone for just under P1700 and that turned out to be a fake. To get my money back, I have to wait 5 days for the seller to agree, and if he does not then a further wait until the seller agrees to the refund, and if he does not I have to wait a further period for Lazada to investigate.  Even then the refund gets put into my wallet, not a cash refund to my bank account. Disgraceful as this is, in my opinion, putting into the wallet, is getting the customer to use the money to make further purchases rather than giving the option to send it immediately to the purchaser’s bank account.LAZADA should carry out checks to assess their sellers' honesty and integrity. I have identified many so I think by looking at buyer’s reviews and complaints, they could easily identify and hopefully block them. I have asked the DTIs (PH) Fair Trade Enforcement Bureau (FTEB), being the proper agency that has jurisdiction to investigate and can best handle my concern. I am also recommending anyone who has similar problems do the same to make Lazada do something about all the fake products being advertised as other genuine branded products. I will publish their details in every media outlet so people are pre-warned. Their email and address is as follows1-3F UPRC Bldg.,315 Sen. Gil J. Puyat Ave., Makati CityTelefax: (+632) 7215.1165Cellphone: (0917) 137.3796"
Krishen Devaser,2024-10-15,"Wanted to pay into Lazada wallet so I didnt expose my credit card information. Got the barcode from Lazada on 13.10.24, went to a 7-eleven, paid RM500 into the account and got a receipt. Checked Lazada and didnt appear in the wallet. On checking the next day, still no credit in the Lazada wallet. Checked with RAZER from 7-eleven and was told the amount had been credited in Lazada. Checked again this morning and RAZER confirmed paid to Lazada. Got an email from Lazada to say never received the money!!!! This gives me the impression that I have been duped and cheated. Never faced this problem with ShopeePay."
Jean Tan,2024-10-09,Have been liaising with Lazada’s customer service agents numerous times to cancel my order which has not been delivered at all within reasonable expected timeline but to no avail. Just wasted more time liaising with another agent Zoe in the evening on 9 Oct 2024 who even lied saying will help place a cancellation request and an email will be sent for this purpose to me. But no email received and order still shown as outstanding to-date!
ali zuhair,2024-09-21,This is the best online plate form to buy things . They describe the item in detail. Size  colour weight and photos.
Sailor,2024-08-16,Unbelievable incompetent team. They ask you to give your credit card number to charge a fee for the service. Unbelievable! They messed up and the customer should pay. Never again Lazada!
Chris,2024-08-08,"After sending images of Airway bill and contents of package which contains the wrong item (Aptamil milk which I ordered vs Dumex Mamil milk powder which was delivered) as per the request, I'm now asked to:● Video Unboxing: To record a video of myself unboxing the product and showing its contents. This will help them verify the authenticity of the product.● Resi Proof (Resi Photo): To take clear photos of the product's packaging and label, including any serial numbers or barcodes.● Product Photo: To take clear photos of the product from different angles, including any unique features or markings."
Janice Tan,2024-07-28,"Dispute on Return/Refund should only be performed with Lazada and not with Seller, what more automated machine! Recently, my claim on purchased of a 1.8L nonstick rice pot plus steamer was rejected, apologised and dat seller will do best to improve their quality. Who cares when my reason rejecting was due to noncompliance of Seller item to SIRIM/Suruhanjaya tenaga (power plug no fuse, can cause short-circuit or even burnt down my house!). Seller even pointed out dat the item was correctly delivered as ordered despite my rationales and snapshots of unsafe plug issue. Real ridiculous! Wouldn't want to recommend Online buying with no guarantee and no humanity. Think can visualise what is more scary coming, in future, for me, I felt being scammed  (item became white elephant n money loss)."
Willybwonka,2024-07-09,refunded items. they cant give back money so they give coupons which expire instead. no warning of expiration on the refund coupons even. lazada is a predatory company that only accepts your money and cant give it back when the items you receive are bad or faulty. take it on your own risk. terrible platform. go to shopee instead or somwhere else to buy stuff online.
Boon Seng TAN,2024-07-03,"It is easy to buy and pay, just very difficult to receive the good. After ordering, nothing happens for a few days and the help page says there is a track button. After a few anxious days wondering I was scammed, the button appears. It work for a while and all of a sudden it says delivered, but I have no notification of where (my condo security says receive nothing). I track to lazada ""delivered but no package"" and filled a form. Then someone replied after 12 hours and I asked for photo evidence of delivery. Then I realized that they put it in delivery box (boxplus) and by then I am 24hrs late and need to pay a late fee. I should have buy from Shopee, wasted so much time with lazada"
Syazwani Robangi,2024-05-16,"Always have good experience with Lazada seller. The bottom line, choose your seller wisely. Read comment, check their legitimacy, look at the courier services that they use etc. It is so annoying to read only complaint about delivery and return. I wanted to know about the product. People only care about delivery. If the delivery is fast then they are happy even though the product is ridiculous and not meet the expectations or as described. Not talking about the product at all. So annoying. The delivery is usually not directly under the seller control unless they send it themselves. People also need to have a common sense and be realistic about the price and the expectation. If you paid for so little don’t expect you get something luxury, good quality etc. If you paid a lot and you got something ridiculous then you should complain."
Robert Johnson,2024-03-15,Phone not answered. Pages I tried down. Issues logging in. The AI chat is not fit to be online and returns unrelated replies to any question. Site displays out of date offers. No support whatsoever. It's a mess and should be pulled from the Web.
Qin Tiong,2024-03-12,"Good online shopping experience, response fast, and items condition good"
Soukchaleun Chakvisetsin,2024-02-16,"Platform for sellers and department storesLazada offers sellers of all sizes a platform for big brands, sometimes smaller ones can list products in a wide range of categories such as multifunction devices, electronics, housewares, children's products, food and machine There's a lot of scrutiny when choosing a product.Ordering and ShippingLazada has the order management and shipping systems required to achieve sales and support that also includes customer service and returns management.wallet"
Jeff Gan,2024-01-26,"The customer service is non existent. They are just a sad competitor to Taobao. Whereas Taobao has live customer service, Lazada just passes you on to a robot. The delivery of the vendors are pathetic, sometimes taking well over 4 weeks and Lazada has totally zero control. I will not be using this platform anymore"
Truth B Told,2024-01-22,This is the worst online shopping app in the world. Customer support doesn’t even respond to queries that arise from customers. They might’ve laid off humans and replaced them with AI that doesn’t understand human’s feelings . And they partner with slow couriers like PosStore that do not deliver parcels on time. I will never use and recommend this platform to anyone.
NSV,2023-12-14,"Lazada is refusing to do a return for items because today is the 3rd day of the “no return policy”. Basically, they said I can do a return up to 3 days of receiving a product and today was day 3, but they refused. I asked for a manager twice and was refused. The agent shut me down quickly to end the chat and “give me feedback later”, but he just didn’t want to assist me."
Sarah,2023-10-20,Lazada keep blocking my payment and blaming my bank but it’s them blocking me. I feel bad for the sellers on this site because they would get more sales if Lazada stopped blocking their customers purchases! What a stupid site!
Syaf Jamaludin,2023-08-06,"After spending 10k myr monthly in lazada, my account got blocked just because i login to my mom’s account to buy her personal stuff using my phone. Now even worse, my mom’s account got blocked too! Spoke to Marina, Aleena, Sophia, and all Tom, Dick and Harry in Customer Service chat but end up stating i’m not allowed to use multiple account. I guess because both our account has unused cashback that they never intend to honour. Blurgh, tiktokshop or shopee is the way to go! Boooo lazada! Boycott at all cost!"
mx sb,2023-07-27,"I wouldn't give Lazada Malaysia a single star. It is the most incompetent outfit. Its ""agents"" (like Sophia -- laughable) is just plain incompetent. Keeps beating about the bush when I tried to explain to her online that Lazada has scammers (like wLT1evCS) operating on its platform. wLT1evCS connived with Ng Marketing in Skudai, Johor, who sends you cheap Chinese garbage and scams you for more money through Flash Express who brushes you off when you launch a complaint. Lazada won't take any responsibility. I never dealt with Ng Marketing at all, yet he managed to get all my details. And the only one who has all my details is wLT1evCS. wLT1evCS won't ever respond to your inquiries. He has something to hide, of course. Ng Marketing is wLT1evCS's accomplice. I'm giving Lazada the boot where it hurts the most! Lazada is loose with the truth and plays ignorant.  So are wLT1evCS and Ng. They are all immoral. Be warned -- unless you are happy to be scammed by Lazada and its ilk pretending as ""sellers"". Stay clear of Lazada Malaysia, of wLT1evCS and Ng Marketing. They'll morph their operation and return to scamming again, I am sure, and Lazada will allow them back on its platform."
Matthias Siva,2023-07-19,This is not the 1st time buying from Lazada and sellers table was damaged but could not get a refund. Bad service from Lazada always Need to improve their customer service Bad quality things all the time
Grant Adamson,2023-05-23,"Twice now I’ve received empty boxes from Lazada..the first time they refused a refund due to lack of evidence…this time I’m being asked to return the empty box. The company is a joke, I’m a regular customer, but I’ve had enough, I’m going to Shopee!"
Sheriff Lobo,2023-04-25,"Last month, March 2023, Lazada kept sending me notifications via the app.I lost 2 Gigabytes of data.I have already uninstalled the Lazada App.IT,'s A USELESS APP."
David Stroebe,2023-04-17,"lazada calls themselves the 'amazon of thailand'.  well, it is partially true as they have an enormous amount of products.big difference though.  Amazon is very 'buyer' oriented whereas lazada is very 'seller' oriented.  if you want to return something on Amazon, it's NO problem at all to do.  whereas with lazada, you want to return something and lazada (who gives 7 day return policy) then goes to seller to ask if product can be returned.in my case, i bought qty 3 of a product from lazada.  of the three products, two were defective.  i sent a return request and to my surprise and disappointment lazada said they would ask  the seller if ok.  the seller rejected my return request.  so i am stuck with faulty product.  nos that is LOUSY customer service.  so BEWARE of what you buy cause you may or may not be able to return it for whatever reason...their 7 day return policy is pure marketing hype."
Naturalista MY,2023-04-15,"We started as a 'Lazada seller' bringing all kinds of good reviews of supplements from the USA. As a side-income business, it went well till many scammers started to take advantage of saying we sent the wrong products and asking for a refund. And Lazada doesn't want to take any responsibility or actions on how to find solutions for fixing all these messes from logistic companies, sellers, or buyers. Lazada customer service is horrible! In the end, most sellers have to absorb the losses. They are no longer a trustworthy e-commerce platform for sellers or buyers anymore. STAY AWAY from Lazada! Not to mention Lazada charges sellers for high commissions & shopping fees."
Nicolae Ursu,2023-01-03,"Seller sent me the wrong product now I received a notification someone came to pick it back but I didn't see anyone, waste of time, also they said money would be refunded to lazada wallet, what do i do with that?"
zzzzzz,2022-12-27,Lazada system is really not effective at all even if I’m cheated I even need to take series of steps to get my refund. Obviously I’m cheated no point i need to get these troublesome.
Pol Polto,2022-12-09,"We have used Lazada over the years. In recent times we have been sent the wrong item by scammers three times. The first time I only received my money back after three months of calling customer service. This year we have been scammed twice and Lazada have refused to refund us, even though evidence has been sent and the item taken back.The customer service is abysmal - what do they do to these people that they cannot function as normal human beings and solve simple problems?Lazada seem to want to reward scammers more than they want to retain their customers. I have had enough of their poor service and stealing from their own customers. Online shopping is supposed to be about convenience - instead of getting what I ordered I have to spend hours upon hours getting nothing from customer service. Time to start telling others about how bad they have been and then move 100% to Shopee."
Wesley,2022-10-26,"My first experience with Lazada and the last one since the package is marked as delivered, without anything being delivered to me or the guards. Customer service is pretty weird with a form that asks for information like an order number, in a field that you can’t change. Added information about checking with the guards and having contact with the delivery guy, but still got an email to check with half the world to ask if it’s delivered somewhere else. The delivery guy made me go to the local Ibis hotel only to find out that my package isn’t there and apart from that it’s all weird blabla that isn’t English and doesn’t even sound like the Malay language the locals here use. Idk what’s going on but Lazada feels like a big scam taking your money, not delivering anything and then making it hard af to complain or get a refund."
Gur Ozsahinoglu,2022-09-27,Lazada sends me fake or missing items everytimethis time i ordered 2 hps lights1 of them didnt even come and now they expect me to refund back the item that i didnt even recievei lost around 500 dollarsnever use this brand and ali baba and never trust an asian
Melvyn Kanny,2022-09-22,I receive a wine chiller properly packed but when opened found it dented. I contacted Lazada via their online system and response has been very slow. After providing all the evidence it keeps asking for more evidence. There is zero customer care or service and no way of contacting them. The item is lying in the middle of my living room for over 1 week and still no response from Lazada. Moral of the story is Lazada should never be used to buy expensive items as you probably will end up the loser as they will try to wash their hands of the problem. A good lesson learnt!
L Y,2022-08-15,"I have been buying from Lazada for the past 5 years, and I see the improvement over the years, especially the return & refund is getting easier. The refund is approved immediately as long as I have a photo to proof the item is damaged. I don't even have to return the item. Lazada customer service is normally helpful and patient. I always get my problem solved with a call. Lastly, Lazada is always has the buyer's back. However, I hope Lazada has more product varieties."
Camie K.,2022-08-14,"1. Bad customer service, they only listen but do not solve problems.2. Dispute team is like a robot, have no common sense to make simple judgements.3. Lazada as a platform favor sellers, would let BAD QUALITY products and BAD seller flood their site, just for more $$$.4. Lazada has no clear rules and  policies about how seller should describe and make clear about products, so consumers get easily misled and get the wrong products all the time. Then, Lazada just reject your return request because they consider this a change of mind when you just want the right products. 5. Laughable operations, lax rules, no common sense team, bad quality products all over...Never using this site again. Beware all!"
carmen howard,2022-08-07,"The lack of Translation at the website and the discription of the items, ends in some bad choices or wrong orders. Like ordering brownies and got ONE (1) Brownie. The communication between seller and Lazada is very bad. A lot of broken pieces or wrong pieces. I think I have already lost $500, because of my temporary disability I can't always check boxes and ensembling the items right away.I been ask to change my review if I want a refund I said first the money back. The review was gone. I didn't took it downBut the most annoying thing is, it's most in Thai language and I really get it. We live in Thailand. But you can't copy and paste to translate any of the information and that is bad.I was looking for another Amazon and oh boy was I wrong...To say it in one sentence: Lazada is the worst online shopping what I have experienced and I shopped for business as well with AliExpress, Alababa and couple more. But Lazada topped them all with their zero+ customer service and website.Apparently I have to look for another online Shop. I am done with Lazada."
Paul Markose,2022-07-27,You won’t get good on time and customer are ask you to communicate the seller. But seller(Lotus) respond automatic message that they are preparing package on delivery day it self. Worst service I have ever seen.
Syed Yusof,2022-07-22,"Dear readers,Results from my checking on this lazada malaysia revealed that this company is not registered with ssm database and does not have a valid business address and office,staff and office contact no other than a customer service onli and their registered office is in singapore under alibaba plus i suspect they do not pay lhdn taxes and are operating illegally in our e commerce platform from the sky and the same applies to most of their sellers so BEWARE when buying from this website as if something goes wrong u will not get your refund and this is what happened to my son until this guy name sean even said V R NOT GIVING YR REFUND SO WHAT R U GOING TO DO .....imagine so arrogant and snobish company and i lost rm17k so avoid this company and this is my personal experiance and i am writing to inform what happen to me and in my case lazada ask to return the faulty guds to the seller and then they pakat or collobrate with the seller to deny our refund and forcing us to accept the faulty guds back and v refused and they even threathen wl make a police report if v do not accept the faulty guds back and even did not pay for the courier charges which they promise to pay.Imagine this is a pariah company.Lets all join and boycott this company and make them pay back all the refund monies they owe us.syed yusof"
Hugo,2022-06-27,"one star is still too much. 3 orders are cancelled in less than two months. The sellers refer to Lazada's distribution system.... the costumer cannot check that. What can you do? Chat with a BOT !!! Very usefull. Or call an expensive ""hotline""... There is no decent e-mail to communicate."
Brenda,2022-06-13,"Lazada never appreciated any kind of business from customers. Ordered chocolate when they arrived with all melted when we had a hard time to request refund! It took months for the customer service to try to find solution. Also, when the shipment got lost and missplaced, Lazada customer service did nooit help you. I would not recommend anyone to use nor spend a penny on Lazada at all. Just get out to the malls and get whatever you need face to face!"
Christophe Kajzar In Asia on T,2022-06-11,Never never never again Lazada. Twice I ordered a phone from this shop and twice something else came. I don't want an additional bank that hoards my money. None of these shops have anything to do with it. I feel abandoned and betrayed as a customer. I have no time for such games. And I still have little time to deal with online businesses like that. That was the last time I ordered anything from this store. And excuses you can scribble somewhere else.
